Cross_ID	Entry	Awns	WDR	flowering	Powdery_mildew	SNB	Location	Height	days_to_head
Parent	Hilliard	+	1	4/12/2022	0		Kinston	75	165
UX1992	UX1992-293	+	2	4/14/2022	1		Kinston	85	167
UX1992	UX1992-195	+	2	4/13/2022	0		Kinston	80	166
Parent	ARGA051160-14LE31	-	2	4/12/2022	1		Kinston	90	165
UX1992	UX1992-100	+	1	4/15/2022	3		Kinston	75	168
UX1992	UX1992-218	+	3	4/6/2022	0		Kinston	90	159
UX1992	UX1992-295	+	2	4/12/2022	2		Kinston	80	165
UX1992	UX1992-24	+	3	4/5/2022	0		Kinston	75	158
UX1992	UX1992-282	+	2	4/8/2022	0		Kinston	75	161
UX1992	UX1992-296	+	1	4/15/2022	0		Kinston	80	168
Parent	GA05450-EL52	+	3	4/4/2022	2		Kinston	75	157
UX1992	UX1992-303	+	2	4/12/2022	0		Kinston	65	165
UX1992	UX1992-78	+	1	4/19/2022	1		Kinston	75	172
UX1992	UX1992-242	+	2	4/14/2022	1		Kinston	80	167
UX1992	UX1992-70	+	2	4/13/2022	2		Kinston	75	166
Parent	TX12D4896	+	3	4/9/2022	1		Kinston	85	162
UX1992	UX1992-225	+	2	4/12/2022	0		Kinston	85	165
UX1992	UX1992-322	+	1	4/15/2022	0		Kinston	80	168
UX1992	UX1992-223	+	2	4/9/2022	0		Kinston	80	162
UX1992	UX1992-281	+	1	4/15/2022	0		Kinston	85	168
UX1992	UX1992-72	+	1	4/14/2022	0		Kinston	80	167
UX1992	UX1992-308	+	3	4/9/2022	3		Kinston	80	162
UX1992	UX1992-182	+	1	4/15/2022	3		Kinston	85	168
UX1992	UX1992-314	+	1	4/15/2022	2		Kinston	75	168
UX1992	UX1992-38	+	2	4/15/2022	2		Kinston	80	168
UX1992	UX1992-9	+	3	4/6/2022	0		Kinston	75	159
UX1992	UX1992-6	+	2	4/15/2022	0		Kinston	80	168
Parent	GA001138-8E36	+	4	4/11/2022	0		Kinston	95	164
UX1992	UX1992-323	+	2	4/15/2022	0		Kinston	85	168
